epoch,lr_backbone,train_total_loss,train_final_ce,train_classical_ce,train_quantum_residual_loss,train_acc,test_acc,test_macro_f1,quantum_gate_mean,quantum_alpha,quantum_correction_ratio,peak_vram_mb,epoch_seconds
1,0.0002999262307746768,2.468538706501325,1.963847130537033,1.98158082117637,0.061975844747697316,0.16381578947368422,0.2375,0.1681778538921396,0.9829059784349642,0.1252533495426178,0.03746792343077495,2629.62451171875,28.822152614593506
2,0.00029970499590002654,2.427345002690951,1.9298148055871327,1.953288495540619,0.06138707969027261,0.1730263157894737,0.2375,0.16564437740908328,0.990605221257398,0.12585586309432983,0.03783291814677221,292.27587890625,17.848236799240112
3,0.0002993365137081604,2.406912828485171,1.9118481054902077,1.9435515676935513,0.061178811670591436,0.21118421052631578,0.25,0.16531817987343594,0.9928899481892586,0.12626862525939941,0.03911584820230737,292.27587890625,18.991228580474854
4,0.0002988211478465144,2.391686648130417,1.897781031827132,1.938978003958861,0.061074201095228396,0.21776315789473685,0.25,0.18200328407224958,0.9905865714346108,0.12683601677417755,0.047516774774627075,292.27587890625,19.098223209381104
5,0.000298159406918973,2.3788616756598153,1.8873589485883713,1.9294860636194546,0.06087465180704991,0.22697368421052633,0.225,0.16713659147869672,0.9913633117158162,0.1272335648536682,0.05220188240422622,292.27587890625,19.12920355796814
6,0.0002973519439839389,2.356411804755529,1.8667962873975437,1.9220340823133786,0.06071330909617245,0.2506578947368421,0.2,0.14291611381394662,0.9902733502419372,0.12795725464820862,0.05220266534995876,292.27587890625,19.0802059173584
7,0.00029639955590984266,2.3469670116901398,1.8605959887305896,1.9092228934168816,0.06043540554431578,0.2776315789473684,0.2875,0.24253166783954963,0.9881274135881348,0.12868349254131317,0.06265968045121745,292.27587890625,17.87210702896118
8,0.00029530318258873023,2.330089961489042,1.845499721666177,1.9021897067626317,0.06028556365830203,0.26907894736842103,0.2875,0.24441665994461026,0.9862483074790553,0.12935444712638855,0.06470110774113748,292.27587890625,16.383285522460938
9,0.0002940639060087029,2.3253195931514106,1.8416642174124718,1.8984991585214932,0.06020393727036814,0.2756578947368421,0.3,0.23309617212056238,0.9852735978600226,0.13030381500720978,0.06999821434238632,292.27587890625,15.748147249221802
10,0.00029268294918612537,2.3147147993246713,1.8327507252494495,1.89182797819376,0.06004723301157355,0.27960526315789475,0.2125,0.16665372670807455,0.9834556358817377,0.13147100806236267,0.0737903019413352,292.27587890625,13.736857891082764
11,0.00029116167495865663,2.302978272239367,1.8219845816493034,1.8879920169711113,0.05997128124969701,0.29605263157894735,0.275,0.26399350649350645,0.9810747790101327,0.1328972429037094,0.07897716427319929,292.27587890625,15.64480209350586
12,0.0002895015846402935,2.2979053258895874,1.8169654111067455,1.8877826730410259,0.059961731312796474,0.2993421052631579,0.3375,0.30769568269568265,0.9803680937933295,0.13453227281570435,0.0894871088994765,292.27587890625,16.36583161354065
13,0.0002877043165397551,2.286357194185257,1.8068341637651126,1.8822081511219342,0.05980648069332043,0.2848684210526316,0.3875,0.304070259242673,0.9787699478629388,0.13599982857704163,0.09882927481575232,292.27587890625,16.436794996261597
14,0.0002857716443436699,2.2817593862613044,1.8038220554590225,1.875945510963599,0.05967237427830696,0.2980263157894737,0.325,0.2686139530967117,0.9756535942617216,0.1377064436674118,0.10490283938492403,292.27587890625,16.454354286193848
