epoch,lr_backbone,train_total_loss,train_final_ce,train_classical_ce,train_quantum_residual_loss,train_acc,test_acc,test_macro_f1,quantum_gate_mean,quantum_alpha,quantum_correction_ratio,peak_vram_mb,epoch_seconds
1,0.0002999262307746768,2.468522916237513,1.9636367410421371,1.9823436215519905,0.06200171052478254,0.1625,0.15,0.03767660910518054,0.9822928537271525,0.12528246641159058,0.03922378391419586,2629.62451171875,21.81614089012146
2,0.00029970499590002654,2.428664023677508,1.931504172583421,1.9518265624841054,0.06135490327142179,0.17039473684210527,0.1375,0.05365822864718137,0.9893471191588201,0.1256764680147171,0.03824124415895264,292.27587890625,13.83712649345398
3,0.0002993365137081604,2.4031596332788467,1.9085287749767303,1.9418390467762947,0.061140710255131125,0.1993421052631579,0.175,0.0776409107876073,0.992355183747254,0.12602150440216064,0.040650207176804544,292.27587890625,13.749058723449707
4,0.0002988211478465144,2.3868648409843445,1.8937754034996033,1.9357525755961735,0.06100844071867565,0.21842105263157896,0.175,0.08035714285714286,0.9899639982534082,0.12655842304229736,0.04721706091597872,292.27587890625,13.614625692367554
5,0.000298159406918973,2.371997540195783,1.8813680832584698,1.9260398348172505,0.060796646789337196,0.24276315789473685,0.2,0.08791208791208792,0.9908338904380798,0.12707968056201935,0.05249853749808512,292.27587890625,13.798762559890747
6,0.0002973519439839389,2.3507627298434577,1.8618456025918324,1.919276975095272,0.06065268853368858,0.25,0.175,0.10913106501341796,0.9901589001479901,0.12791591882705688,0.05279093106939016,292.27587890625,13.725221395492554
7,0.00029639955590984266,2.3399629493554435,1.8547376866141956,1.9047037387887638,0.06032892339862883,0.2611842105263158,0.2125,0.12455259026687597,0.9882157888067397,0.12853044271469116,0.06305846527561937,292.27587890625,13.637655019760132
8,0.00029530318258873023,2.3248750319083533,1.8409119521578152,1.8997167001167934,0.06022607030657431,0.27960526315789475,0.25,0.15226896655468083,0.9854017276905085,0.12931200861930847,0.06543307767102594,292.27587890625,13.836934566497803
9,0.0002940639060087029,2.3115759839614234,1.8291862060626347,1.8935010035832722,0.06009678216651082,0.28289473684210525,0.2375,0.1445030791670043,0.9843995013127201,0.13030575215816498,0.07125259066539767,292.27587890625,13.852445125579834
10,0.00029268294918612537,2.3046317199865975,1.8240580980976422,1.8863396272063255,0.05992472171783447,0.28289473684210525,0.25,0.16527520098948673,0.9817112519552833,0.13151013851165771,0.07216075472533703,292.27587890625,13.777053594589233
11,0.00029116167495865663,2.2927476912736893,1.8130012303590775,1.8830747107664745,0.05985171518598994,0.29276315789473684,0.2375,0.16671803856677808,0.9803237435456954,0.13303428888320923,0.086541592484144,292.27587890625,13.71691370010376
12,0.0002895015846402935,2.2764720221360526,1.7973081668217976,1.8807714780171711,0.05980652407743037,0.3026315789473684,0.2375,0.13853537766581245,0.9788224191649963,0.13450706005096436,0.09417064671747778,292.27587890625,13.74176549911499
13,0.0002877043165397551,2.2602953165769577,1.7830368181069691,1.873265412946542,0.05961399579731127,0.30197368421052634,0.275,0.19210445468509985,0.9759290166591343,0.13592225313186646,0.11585068174784904,292.27587890625,13.856833934783936
14,0.0002857716443436699,2.2517260362704596,1.7757651507854462,1.8681428631146748,0.059499619606261454,0.3144736842105263,0.3125,0.2224489795918367,0.9759980810708121,0.1371886283159256,0.11871753278139391,292.27587890625,13.777055501937866
15,0.00028370547536616097,2.2401098062594733,1.765706591308117,1.862004945675532,0.0593448382957528,0.3144736842105263,0.275,0.19374757347107577,0.9719806493505051,0.13833971321582794,0.1326037094720002,292.27587890625,13.794523239135742
16,0.00028150784866655756,2.2330255011717477,1.7589097544550896,1.8608753457665443,0.05931097400995592,0.3263157894736842,0.275,0.19173726170630195,0.9749155870785838,0.13940486311912537,0.14172468429774437,292.27587890625,13.74782395362854
