dataset,metric,reference,ablation,folds,full_minus_ablation_mean,full_minus_ablation_std,cohen_dz,wilcoxon_p_raw,wilcoxon_p_holm
CHSZ,accuracy,full,classical_latent,27,1.066369325339969,7.466260806792947,0.14015522064004934,0.6848744008735368,1.0
CHSZ,accuracy,full,no_entanglement,27,1.0273856633468847,8.012135105616833,0.1258316898410805,0.601181013818558,1.0
CHSZ,accuracy,full,no_reupload,27,0.27090780040512824,7.640875484774255,0.03479230321139414,0.6373129673484332,1.0
CHSZ,accuracy,full,uniform_channel_pool,27,0.6592279039531077,2.8413041271293795,0.22767883039393075,0.17011443450093033,1.0
CHSZ,accuracy,full,no_bilstm,27,3.0797666812655446,6.899856544713414,0.43800850828898835,0.11608313373865504,0.8125819361705853
CHSZ,accuracy,full,linear_classifier,27,-0.35725951784348703,6.102102193051496,-0.05745252535732041,0.7750969621959847,1.0
CHSZ,accuracy,full,no_spectral,27,9.706031229983967,17.283250564556823,0.5510881215064896,0.009233309555352946,0.08309978599817652
CHSZ,accuracy,full,no_hjorth,27,0.1436708430668632,5.823630134902263,0.024209155916640437,0.9772063994750985,1.0
CHSZ,accuracy,full,no_connectivity,27,-1.4764215845914204,5.6337977963866015,-0.25716622041666404,0.09434321265437105,0.7547457012349684
CHSZ,macro_f1,full,classical_latent,27,1.7011453718631515,8.281062270630168,0.201585908132699,0.5034132106662779,1.0
CHSZ,macro_f1,full,no_entanglement,27,0.4772210813417946,7.417831395803516,0.06313169571313884,0.3719614039338499,1.0
CHSZ,macro_f1,full,no_reupload,27,-0.3660714701405036,7.543734290523646,-0.04761944091988339,0.5230089917974712,1.0
CHSZ,macro_f1,full,uniform_channel_pool,27,0.5766291031125279,3.5523454322744774,0.15928913709880507,0.23105922995345296,1.0
CHSZ,macro_f1,full,no_bilstm,27,5.831425516414911,10.226629685181955,0.5595604292824644,0.01506437361240387,0.12051498889923096
CHSZ,macro_f1,full,linear_classifier,27,-1.133432453158912,6.413994059233655,-0.17340909912485378,0.5296296702875958,1.0
CHSZ,macro_f1,full,no_spectral,27,25.47931627565393,22.4622713694502,1.1131120697801575,4.0999581814844626e-05,0.00036899623633360163
CHSZ,macro_f1,full,no_hjorth,27,0.03089595728613877,6.276744204760234,0.004830276787278734,0.8611621969468249,1.0
CHSZ,macro_f1,full,no_connectivity,27,-1.952017494462586,6.462269762915791,-0.2964172092686481,0.09185084396186832,0.6429559077330782
Sleep-EDF-20,accuracy,full,classical_latent,20,0.40200949215400783,1.373753965650024,0.28522602610520364,0.11398696899414062,0.42159271240234375
Sleep-EDF-20,accuracy,full,no_entanglement,20,0.6336065083689562,1.7760880910635441,0.347709799062199,0.10539817810058594,0.42159271240234375
Sleep-EDF-20,accuracy,full,no_reupload,20,0.7911006779713781,1.5568143723397716,0.49528676965111684,0.026641845703125,0.15985107421875
Sleep-EDF-20,accuracy,full,uniform_channel_pool,20,-0.19135346996120858,1.4012071187899837,-0.13310544129179683,0.6215133666992188,0.6215133666992188
Sleep-EDF-20,accuracy,full,no_bilstm,20,1.7049182387124404,2.0411913530707553,0.8141072821244727,0.002712249755859375,0.021697998046875
Sleep-EDF-20,accuracy,full,linear_classifier,20,0.5305512018770479,1.2084576227684063,0.4279151669580584,0.013616561889648438,0.09531593322753906
Sleep-EDF-20,accuracy,full,no_spectral,20,4.682688185003271,4.313502694066871,1.0581006193150664,3.62396240234375e-05,0.0003261566162109375
Sleep-EDF-20,accuracy,full,no_hjorth,20,0.5245393435910664,2.221189927636413,0.23017289265234284,0.17685317993164062,0.42159271240234375
Sleep-EDF-20,accuracy,full,no_connectivity,20,1.2503969805201116,2.7226683553295725,0.447625660857412,0.03276824951171875,0.16384124755859375
Sleep-EDF-20,macro_f1,full,classical_latent,20,0.025075217725117938,2.4570382533907758,0.009947056785980055,0.7285060882568359,1.0
Sleep-EDF-20,macro_f1,full,no_entanglement,20,0.9077329498986014,2.0612387687116587,0.4292315144158876,0.0758514404296875,0.3792572021484375
Sleep-EDF-20,macro_f1,full,no_reupload,20,1.250418831614931,2.78027748653169,0.4383582306322476,0.0758514404296875,0.3792572021484375
Sleep-EDF-20,macro_f1,full,uniform_channel_pool,20,-0.38589448656325126,2.4133263828515723,-0.15585269468953483,0.6476554870605469,1.0
Sleep-EDF-20,macro_f1,full,no_bilstm,20,3.4153086396216543,2.724678599028789,1.2217334898254473,8.20159912109375e-05,0.0006561279296875
Sleep-EDF-20,macro_f1,full,linear_classifier,20,2.0205185017569494,3.0382754839383534,0.6481827737680582,0.006389617919921875,0.044727325439453125
Sleep-EDF-20,macro_f1,full,no_spectral,20,10.90529777374363,6.731398667861681,1.579043225846363,3.814697265625e-06,3.4332275390625e-05
Sleep-EDF-20,macro_f1,full,no_hjorth,20,0.7098604678839031,3.1666313027407162,0.2184928819463763,0.49800872802734375,1.0
Sleep-EDF-20,macro_f1,full,no_connectivity,20,1.3774690190398335,2.325993676134885,0.5772116830187128,0.017181396484375,0.10308837890625
