epoch,lr_backbone,train_total_loss,train_final_ce,train_classical_ce,train_quantum_residual_loss,train_acc,test_acc,test_macro_f1,quantum_gate_mean,quantum_alpha,quantum_correction_ratio,peak_vram_mb,epoch_seconds
1,0.0002999262307746768,2.07454497163946,1.6555470336567273,1.627641569484364,0.08058371090076187,0.20296296296296296,0.28888888888888886,0.19487967229902714,0.9805444667957447,0.12492205947637558,0.054691052238146465,2583.15771484375,24.87083387374878
2,0.00029970499590002654,2.0162232518196106,1.6015965179963545,1.6105066266926853,0.0800004554065791,0.2222222222222222,0.2,0.07058823529411765,0.9958811919777482,0.12500233948230743,0.04609968900680542,245.24853515625,9.723895072937012
3,0.0002993365137081604,2.009540541605516,1.5948648994619197,1.6106847741387107,0.08002951978282495,0.22962962962962963,0.24444444444444444,0.13061224489795917,0.9967331399740996,0.12528832256793976,0.045897901527307654,245.2060546875,9.71571683883667
4,0.0002988211478465144,2.0060661272569136,1.5921484177762812,1.6077227538282222,0.07991339909759435,0.22814814814814816,0.26666666666666666,0.19225189072387716,0.9964701139485395,0.12555710971355438,0.047473106229746785,245.2060546875,9.781113862991333
5,0.000298159406918973,1.99972003698349,1.5868150862780483,1.6037669777870178,0.07975457778031175,0.24,0.24444444444444444,0.13061224489795917,0.9956524998170359,0.12572479248046875,0.0466497763770598,245.2060546875,9.760503053665161
6,0.0002973519439839389,1.977493773807179,1.5657024004242637,1.5994250069965015,0.0795674788003618,0.2548148148148148,0.24444444444444444,0.18371212121212122,0.9953387708134122,0.12586815655231476,0.04821412689707898,245.2060546875,9.783079385757446
7,0.00029639955590984266,1.9706608923998745,1.559661946513436,1.5963060801679438,0.07948289168151942,0.29185185185185186,0.28888888888888886,0.2122090469916557,0.994040612468013,0.12623178958892822,0.05040044958668726,245.2060546875,9.780143737792969
8,0.00029530318258873023,1.9742668325250798,1.565052162517201,1.5893508087504993,0.07917971062389287,0.2607407407407407,0.28888888888888886,0.19550353028613898,0.9927991123552675,0.12660448253154755,0.053145399010843704,245.2060546875,9.79417371749878
9,0.0002940639060087029,1.9583603631366382,1.5509548404000022,1.5823080268773166,0.07885670153932138,0.2725925925925926,0.3333333333333333,0.24394576905095838,0.9921104041735331,0.1268770396709442,0.05771443324784438,245.2060546875,9.776052236557007
10,0.00029268294918612537,1.9304294152693315,1.5254101157188416,1.5729866786436602,0.07848420468243686,0.27555555555555555,0.3111111111111111,0.20695652173913043,0.9907216269881637,0.12721584737300873,0.057962006711297566,245.2060546875,9.786364078521729
11,0.00029116167495865663,1.915977114980871,1.5129896998405457,1.5650730295614763,0.07812780886888504,0.2992592592592593,0.3111111111111111,0.2333333333333333,0.9893957925725866,0.12752848863601685,0.06332092208442865,245.2060546875,9.729798078536987
12,0.0002895015846402935,1.8971935781565579,1.4966682466593655,1.5554652430794456,0.07772677730430257,0.2992592592592593,0.28888888888888886,0.19550353028613898,0.9872944985495673,0.12797662615776062,0.06913228453585395,245.2060546875,8.637988805770874
13,0.0002877043165397551,1.9137026125734502,1.513531592759219,1.5540763193910772,0.07767959819598631,0.31407407407407406,0.3111111111111111,0.22305882352941175,0.9854973310011405,0.12834711372852325,0.07108807323431528,245.2060546875,8.63055682182312
14,0.0002857716443436699,1.8977426182140003,1.4980647672306409,1.552159927108071,0.07758582349527966,0.32,0.28888888888888886,0.2568600989653621,0.9850344037126612,0.1286245733499527,0.07816852527636069,245.2060546875,8.699755907058716
15,0.00028370547536616097,1.8713070479306309,1.474718223918568,1.5401130372827703,0.07707051865079186,0.3466666666666667,0.3111111111111111,0.2255639097744361,0.9821608999923424,0.12890051305294037,0.0802587944517533,245.2060546875,9.567863464355469
16,0.00028150784866655756,1.88618173382499,1.4900015104900708,1.5385212248021907,0.07699883729219437,0.3288888888888889,0.28888888888888886,0.214017094017094,0.9808645191016021,0.1289592981338501,0.08119970579942068,245.2060546875,9.499946594238281
17,0.00027918093303708956,1.8783903121948242,1.4824974157593467,1.5374144532463767,0.07692777907306497,0.3244444444444444,0.28888888888888886,0.21116427432216903,0.9772479459974501,0.1292242556810379,0.07871749571352094,245.2060546875,8.559515476226807
18,0.00027672702486255125,1.8495125553824685,1.4566247246482156,1.5256810892711987,0.07644966414028947,0.34074074074074073,0.28888888888888886,0.20952380952380953,0.9751562635986893,0.12948894500732422,0.08607459416819943,245.2060546875,8.607221364974976
19,0.000274148545854047,1.847133923660625,1.4546586708589033,1.524084297093478,0.07636047086932442,0.3348148148148148,0.37777777777777777,0.3468909648226536,0.9736805785143817,0.12971535325050354,0.08873364423436148,245.2060546875,8.609577417373657
20,0.00027144804065905466,1.8353944962674922,1.444681471044367,1.5172239000147039,0.0760462253608487,0.38074074074074077,0.3333333333333333,0.2912280701754386,0.9711628024666398,0.13001622259616852,0.08846840967458708,245.2060546875,9.536266088485718
21,0.0002686281743501657,1.8436520587314258,1.451679289340973,1.5221479697660967,0.07623775472695177,0.37925925925925924,0.35555555555555557,0.3017543859649122,0.9708774446558069,0.13018982112407684,0.09486553845582185,245.2060546875,9.640260219573975
22,0.0002656917297949805,1.802276448770003,1.4163158102469011,1.4987556825984607,0.07514406131072478,0.3851851851851852,0.3111111111111111,0.2726495726495727,0.9686910934801455,0.13045547902584076,0.09445248836168536,245.2060546875,9.748059034347534
23,0.0002626416049097537,1.8196655728600242,1.431870243766091,1.5058682615106755,0.07552098178050735,0.3688888888888889,0.35555555555555557,0.3030603804797353,0.9652754636164065,0.13063016533851624,0.09916386023439742,245.2060546875,9.746960163116455
24,0.00025948080979950103,1.8165821758183567,1.4310857491059736,1.4969626285813071,0.07503761317242276,0.3688888888888889,0.35555555555555557,0.3026427962489343,0.9638474550953617,0.13081330060958862,0.0954496544709912,245.2060546875,9.69159483909607
25,0.00025621246378738883,1.8262492635033347,1.4375529126687483,1.5094048489223828,0.07563349536874077,0.3925925925925926,0.3333333333333333,0.31397435897435894,0.9636699199676514,0.1310267448425293,0.10436926231340125,245.2060546875,9.752910137176514
26,0.00025283979233633894,1.824425383047624,1.4354980967261575,1.5103105035695163,0.07566366683353078,0.3851851851851852,0.28888888888888886,0.23783716283716286,0.9602266270143014,0.13125427067279816,0.09292271464787148,245.2060546875,9.739879369735718
27,0.0002493661238658859,1.8220007365400142,1.4333133914253928,1.5093813809481533,0.07561249353668907,0.3851851851851852,0.3111111111111111,0.27225490196078433,0.9626917895564326,0.1314621865749359,0.10456658701653834,245.2060546875,9.77081036567688
28,0.0002457948864674291,1.8410002155737444,1.4522884162989529,1.5094616196372292,0.07564174180681055,0.3925925925925926,0.37777777777777777,0.3148717948717949,0.9557512362798055,0.13160420954227448,0.10107763335660652,245.2060546875,9.755839586257935
29,0.00024212960452111996,1.8051286285573787,1.420279936356978,1.4944460554556414,0.07491373101418669,0.3851851851851852,0.3333333333333333,0.26679098679098673,0.9592687148518032,0.13167357444763184,0.1005301860637135,245.2060546875,9.7914297580719
30,0.00023837389521772471,1.8037213628942317,1.4176936149597168,1.4990171519192783,0.07515556094321338,0.37037037037037035,0.3333333333333333,0.32408602150537635,0.9588557200961643,0.13196754455566406,0.10968231873931708,245.2060546875,9.703900814056396
31,0.0002345314649888935,1.7739726846868342,1.3924006657166914,1.4816221703182568,0.07444244758649306,0.4103703703703704,0.35555555555555557,0.3042424242424242,0.952089185361509,0.1321163773536682,0.10231375801342504,245.2060546875,9.805599451065063
32,0.00023060610584935994,1.7799035202373157,1.3970742279833013,1.4865977980873801,0.07453137907114896,0.40444444444444444,0.35555555555555557,0.3325757575757576,0.9558349276472021,0.13229681551456451,0.11588451087198876,245.2060546875,9.7937490940094
33,0.00022660169165468046,1.7515180436047642,1.3725585504011675,1.4715466120026328,0.07381800003349781,0.4059259259259259,0.3333333333333333,0.29166666666666663,0.9518528286616007,0.13248276710510254,0.10800475192290765,245.2060546875,9.799328804016113
34,0.00022252217427820638,1.7853586131876165,1.4047963185743852,1.4778225909579883,0.07404346019029617,0.4074074074074074,0.35555555555555557,0.31002331002331,0.9478663215813813,0.13266794383525848,0.10752675207400764,245.2060546875,9.72063159942627
35,0.0002183715797110622,1.7479210983623157,1.3686243458227678,1.4728244163773276,0.07393680817701599,0.42518518518518517,0.35555555555555557,0.3378347578347578,0.951350450957263,0.13287515938282013,0.11435502150544413,245.2060546875,9.487835884094238
36,0.00021415400408897832,1.7773749394850298,1.3951492743058638,1.4842619028958408,0.07440046559680592,0.4103703703703704,0.3111111111111111,0.28180304132765926,0.9531523497016342,0.13314315676689148,0.12772670399535585,245.2060546875,8.605470418930054
37,0.00020987360964989967,1.7705533504486084,1.3897295648401433,1.4787354252555154,0.07426536523483017,0.42518518518518517,0.4,0.38785198289842254,0.9492505681073224,0.13331875205039978,0.1177267780099754,245.2060546875,8.23982572555542
38,0.00020553462062635936,1.7460030859166926,1.3661231019280173,1.4751003926450557,0.07403187453746796,0.43703703703703706,0.3333333333333333,0.2814352623640549,0.9506538291330691,0.1334536075592041,0.12524680722642828,245.2060546875,7.732827663421631
39,0.00020114131907667107,1.7666896744207903,1.3841344768350774,1.4854850606484846,0.07455866783857346,0.40444444444444444,0.4222222222222222,0.38397435897435894,0.9477382285506637,0.13357247412204742,0.12353982343717858,245.2060546875,8.458293437957764
40,0.00019669804065905463,1.7357634143395857,1.359087266705253,1.4626632983034307,0.07340132157233628,0.4237037037037037,0.4,0.3902898550724637,0.949860235231894,0.13374249637126923,0.12149484498081384,245.2060546875,8.502449750900269
41,0.00019220917035286478,1.7276976812969556,1.3500572497194463,1.466332419352098,0.07371460070664232,0.43851851851851853,0.4,0.38482850482850484,0.9490177568682918,0.13392768800258636,0.13098147208767907,245.2060546875,8.528009176254272
42,0.00018767913813114574,1.7521433396772905,1.372729480266571,1.4732837947932156,0.07395156676119025,0.4311111111111111,0.35555555555555557,0.33199810941746427,0.9465025287204318,0.13412514328956604,0.1343913163603456,245.2060546875,8.51863431930542
43,0.0001831124145887831,1.7164862535216592,1.340126557783647,1.4614127549258145,0.0733751312575557,0.43555555555555553,0.3111111111111111,0.25559747270273586,0.9467116640232227,0.1342858523130417,0.1377518407696927,245.2060546875,8.483756303787231
44,0.00017851350653056583,1.7535738836635242,1.373481978069652,1.4759533296931873,0.0740222531286153,0.44592592592592595,0.4,0.376036866359447,0.9470002905086234,0.13445909321308136,0.14409021551962253,245.2060546875,8.524190664291382
45,0.0001738869525235145,1.735625451261347,1.3563736514611677,1.472704909064553,0.07383556054397063,0.45925925925925926,0.35555555555555557,0.3231303920288241,0.9466430005762312,0.1346011608839035,0.14517397558799497,245.2060546875,8.516968727111816
46,0.0001692373184178635,1.7537857402454724,1.3743261315605857,1.4734760902144692,0.07393573800271208,0.41185185185185186,0.3111111111111111,0.225748987854251,0.9490052545512164,0.13467875123023987,0.1455844730745863,245.2060546875,8.561538696289062
47,0.00016456919284111787,1.7189918756484985,1.3404841748150913,1.4697930975393816,0.07372797111218626,0.4474074074074074,0.35555555555555557,0.3068939393939394,0.948458940717909,0.13480950891971588,0.1459465755329088,245.2060546875,8.51120662689209
48,0.00015988718266963235,1.7014513503421436,1.324352123520591,1.4642964764074846,0.07349910858002576,0.46370370370370373,0.4222222222222222,0.38969191727812413,0.9471863228744931,0.13494780659675598,0.15352869545971906,245.2060546875,8.51567792892456
