dataset,metric,reference,ablation,folds,full_minus_ablation_mean,full_minus_ablation_std,cohen_dz,wilcoxon_p_raw,wilcoxon_p_holm
CHSZ,accuracy,full,classical_latent,27,1.066369325339969,7.466260806792947,0.14015522064004934,0.6848744008735368,1.0
CHSZ,accuracy,full,quantum_depth_1,27,0.287134210649501,6.423161929993705,0.04386729555452043,0.5229849621751831,1.0
CHSZ,accuracy,full,quantum_depth_3,27,-1.385534132907052,4.124522022352446,-0.3296464432768573,0.07919195970684487,1.0
CHSZ,accuracy,full,no_entanglement,27,1.0273856633468847,8.012135105616833,0.1258316898410805,0.601181013818558,1.0
CHSZ,accuracy,full,linear_entanglement,27,0.5607437272909763,7.6204538054368,0.072208509612118,0.6050974510126371,1.0
CHSZ,accuracy,full,no_reupload,27,0.27090780040512824,7.640875484774255,0.03479230321139414,0.6373129673484332,1.0
CHSZ,accuracy,full,frozen_reupload_scale,27,-0.03858017119388114,3.914296683562129,-0.009671975828086493,0.6702288346251707,1.0
CHSZ,accuracy,full,uniform_channel_pool,27,0.6592279039531077,2.8413041271293795,0.22767883039393075,0.17011443450093033,1.0
CHSZ,accuracy,full,max_channel_pool,27,1.6253193332783857,10.720173500661085,0.14877901496286328,0.8551901414707871,1.0
CHSZ,accuracy,full,no_bilstm,27,3.0797666812655446,6.899856544713414,0.43800850828898835,0.11608313373865504,1.0
CHSZ,accuracy,full,endpoint_bilstm,27,0.6135167468931221,4.201683162242793,0.1432873707147391,0.37544507472938493,1.0
CHSZ,accuracy,full,mean_bilstm,27,0.4937064779623378,3.3997123925193593,0.14250543863372464,0.6008710115741303,1.0
CHSZ,accuracy,full,linear_classifier,27,-0.35725951784348703,6.102102193051496,-0.05745252535732041,0.7750969621959847,1.0
CHSZ,accuracy,full,mlp_classifier,27,-0.2690974658269996,6.133113637485132,-0.04305597103046325,0.6668100981058742,1.0
CHSZ,accuracy,full,no_spectral,27,9.706031229983967,17.283250564556823,0.5510881215064896,0.009233309555352946,0.23083273888382366
CHSZ,accuracy,full,no_bandpowers,27,0.4339538119397851,7.048457971567791,0.06041630838567828,0.30519775344657996,1.0
CHSZ,accuracy,full,no_entropy,27,4.417962190902678,9.009942054354674,0.4811769210197946,0.02735134586110407,0.6564323006664976
CHSZ,accuracy,full,no_hjorth,27,0.1436708430668632,5.823630134902263,0.024209155916640437,0.9772063994750985,1.0
CHSZ,accuracy,full,no_hjorth_mobility,27,1.6044106251072845,5.345391467412915,0.2945376417284189,0.17024139590961385,1.0
CHSZ,accuracy,full,no_hjorth_complexity,27,0.43585821540199327,7.060375246316748,0.06057902016945389,0.8077578019309388,1.0
CHSZ,accuracy,full,no_connectivity,27,-1.4764215845914204,5.6337977963866015,-0.25716622041666404,0.09434321265437105,1.0
