epoch,lr_backbone,train_total_loss,train_final_ce,train_classical_ce,train_quantum_residual_loss,train_acc,test_acc,test_macro_f1,quantum_gate_mean,quantum_alpha,quantum_correction_ratio,peak_vram_mb,epoch_seconds
1,0.0002999262307746768,2.0717859159816396,1.6523391983725808,1.6293850974603132,0.08066978136246855,0.21333333333333335,0.17777777777777778,0.12153846153846155,0.9798588841932792,0.12493031471967697,0.05630316744248072,2583.15771484375,24.941418409347534
2,0.00029970499590002654,2.014766823161732,1.5999798612161116,1.6111371571367437,0.0800178125500679,0.2237037037037037,0.2,0.06666666666666668,0.9949038789007398,0.1250162571668625,0.04649798940729212,245.24853515625,9.746953010559082
3,0.0002993365137081604,2.006077777255665,1.5908292531967163,1.6129247546195984,0.08011552420529452,0.2577777777777778,0.2,0.10666666666666666,0.996485757916062,0.12530705332756042,0.04820193377357942,245.2060546875,9.7290620803833
4,0.0002988211478465144,2.0035181641578674,1.5888809399171309,1.6105334054340015,0.08002586832100694,0.22074074074074074,0.17777777777777778,0.10303030303030303,0.9961128055607831,0.12563136219978333,0.05335975824130906,245.2060546875,9.690774917602539
5,0.000298159406918973,1.9999864263968035,1.586650620807301,1.6054495681415906,0.07982277463782918,0.2474074074074074,0.2,0.06666666666666668,0.9959029218002602,0.1258293241262436,0.05356404941391062,245.2060546875,9.74441385269165
6,0.0002973519439839389,1.9739876714619724,1.561213038184426,1.6032661307941785,0.07972064444964583,0.25037037037037035,0.17777777777777778,0.10714285714285716,0.9955446235338847,0.12601910531520844,0.050566927950691294,245.2060546875,9.785193920135498
7,0.00029639955590984266,1.9698958288539539,1.5587505318901755,1.59688523682681,0.0794931910932064,0.2696296296296296,0.24444444444444444,0.15102040816326529,0.9945712278507374,0.12633106112480164,0.05565679297403053,245.2060546875,8.94206166267395
8,0.00029530318258873023,1.971630578691309,1.5621049295772205,1.5905705690383911,0.079219884831797,0.25925925925925924,0.24444444444444444,0.2240144954416401,0.993893273141649,0.12665383517742157,0.05884429495091791,245.2060546875,8.614328861236572
9,0.0002940639060087029,1.9703658385710283,1.5616259466518054,1.587512801993977,0.07907786423509772,0.3022222222222222,0.24444444444444444,0.16703030303030303,0.9923075133782846,0.1268579661846161,0.05669796961325186,245.2060546875,7.534117698669434
10,0.00029268294918612537,1.9365965561433272,1.530278574336659,1.5780492966825312,0.07870432328094136,0.2948148148148148,0.26666666666666666,0.21182266009852216,0.9925264203989947,0.12716896831989288,0.059371723096679756,245.2060546875,8.550670862197876
11,0.00029116167495865663,1.9155598337000066,1.5115269205786965,1.5691615722396157,0.07828347554261034,0.31407407407407406,0.26666666666666666,0.24573975044563282,0.9905887776833994,0.12749448418617249,0.0617800987429089,245.2060546875,8.629498720169067
12,0.0002895015846402935,1.897667646408081,1.4959607070142573,1.5600862286307595,0.07790250432762233,0.30518518518518517,0.24444444444444444,0.20592592592592593,0.9883841260274251,0.12790483236312866,0.07175749275419448,245.2060546875,8.632010221481323
13,0.0002877043165397551,1.9141893495212903,1.5132903131571682,1.5569179545749317,0.07779700004241684,0.3022222222222222,0.28888888888888886,0.20341880341880342,0.9867461470321373,0.12816084921360016,0.06941368816075502,245.2060546875,8.661561489105225
14,0.0002857716443436699,1.8990701166066257,1.4984687241640957,1.555758693001487,0.0777447870509191,0.3362962962962963,0.3111111111111111,0.2445981554677207,0.9853121191483957,0.12845037877559662,0.0761838030870314,245.2060546875,9.54200267791748
15,0.00028370547536616097,1.8760333386334507,1.478416616266424,1.5441094799475237,0.07726229287006638,0.3362962962962963,0.28888888888888886,0.22906388361796332,0.9832523152563307,0.12875127792358398,0.08253799567895907,245.2060546875,9.718551397323608
16,0.00028150784866655756,1.8839130997657776,1.4868592403151772,1.541939220645211,0.07712694392962889,0.31703703703703706,0.28888888888888886,0.23958592132505174,0.9808308298499496,0.12899135053157806,0.08136198951966232,245.2060546875,9.800488710403442
17,0.00027918093303708956,1.875186876817183,1.4788278612223538,1.5392305580052463,0.07700835202227939,0.32,0.3111111111111111,0.22556067588325654,0.9792756100054141,0.12923172116279602,0.08692964322313114,245.2060546875,9.8177170753479
18,0.00027672702486255125,1.8509556596929377,1.4575334949926897,1.527770221233368,0.07652986557646231,0.3511111111111111,0.28888888888888886,0.21436035229138678,0.9764490018067536,0.12954510748386383,0.09173830708419835,245.2060546875,9.868388891220093
19,0.000274148545854047,1.857517199082808,1.4644631526686929,1.52633197741075,0.07647294449535283,0.3377777777777778,0.3333333333333333,0.24099821746880573,0.9745449089120936,0.129757359623909,0.0898026833931605,245.2060546875,9.779298543930054
20,0.00027144804065905466,1.8393068584528836,1.447774421085011,1.5204050920226357,0.07620699839158492,0.36148148148148146,0.3333333333333333,0.25072398865502316,0.9723598434306957,0.13008321821689606,0.09060502293485183,245.2060546875,9.766098499298096
21,0.0002686281743501657,1.8479263511571018,1.4564128030430188,1.5203548832373186,0.07616468010978265,0.34074074074074073,0.3111111111111111,0.23564750957854405,0.971271966651634,0.13022509217262268,0.1035988212901133,245.2060546875,9.77698278427124
22,0.0002656917297949805,1.8058608228510076,1.4185423146594653,1.5040317936377092,0.07540300488471985,0.37333333333333335,0.26666666666666666,0.22533180778032036,0.9696689200401306,0.1305517554283142,0.10639379114464477,245.2060546875,9.821832180023193
